Location,Time,Day of Week,Number of Drinks,Number of Pastries,Total Bill,Age
Deira,Evening,Thursday,2,1,13,48
Deira,Afternoon,Thursday,1,1,8,48
Deira,Morning,Monday,0,1,3,48
Deira,Afternoon,Monday,1,0,5,48
Deira,Evening,Tuesday,2,0,10,49
Deira,Afternoon,Monday,1,1,8,49
Deira,Evening,Saturday,1,0,5,49
Deira,Evening,Thursday,1,0,5,49
Deira,Morning,Friday,1,0,5,49
Deira,Morning,Tuesday,1,0,5,49
Deira,Morning,Wednesday,1,0,5,49
Deira,Evening,Saturday,0,0,0,49
Deira,Afternoon,Monday,2,1,13,49
Deira,Afternoon,Tuesday,1,0,5,49
Deira,Afternoon,Wednesday,2,0,10,49
Deira,Evening,Friday,1,0,5,49
Deira,Afternoon,Tuesday,0,0,0,49
Deira,Afternoon,Wednesday,0,0,0,49
Deira,Morning,Monday,2,0,10,49
Deira,Afternoon,Monday,0,0,0,49
Deira,Evening,Wednesday,1,1,8,49
Deira,Evening,Thursday,1,0,5,49
Deira,Morning,Saturday,1,0,5,49
Deira,Afternoon,Thursday,0,0,0,49
Deira,Morning,Wednesday,1,1,8,50
Deira,Evening,Thursday,0,1,3,25
Deira,Evening,Sunday,0,0,0,22
Deira,Morning,Friday,1,1,8,18
Deira,Evening,Tuesday,2,0,10,16
Deira,Afternoon,Thursday,1,1,8,20
Deira,Evening,Tuesday,1,0,5,19
Deira,Morning,Wednesday,0,0,0,23
Deira,Afternoon,Saturday,1,0,5,19
Deira,Evening,Sunday,0,1,3,21
Deira,Morning,Tuesday,2,0,10,16
Deira,Morning,Monday,0,1,3,18
Deira,Evening,Sunday,2,0,10,22
Deira,Morning,Wednesday,1,1,8,23
Deira,Evening,Friday,2,0,10,24
Deira,Morning,Saturday,2,0,10,17
Deira,Evening,Tuesday,1,0,5,20
Deira,Morning,Saturday,0,0,0,20
Deira,Evening,Monday,2,1,13,20
Deira,Morning,Saturday,1,1,8,18
Deira,Evening,Friday,2,1,13,23
Deira,Evening,Saturday,2,1,13,20
Deira,Morning,Sunday,1,0,5,19
Deira,Afternoon,Monday,1,0,5,22
Deira,Evening,Monday,2,1,13,24
Deira,Morning,Sunday,2,1,13,17
Deira,Morning,Saturday,2,0,10,22
Deira,Morning,Sunday,1,0,5,17
Deira,Evening,Monday,1,1,8,22
Deira,Afternoon,Friday,0,0,0,21
Deira,Morning,Monday,1,1,8,20
Deira,Evening,Tuesday,2,0,10,23
Deira,Evening,Sunday,2,1,13,21
Deira,Morning,Sunday,1,0,5,24
Deira,Afternoon,Thursday,1,0,5,22
Deira,Afternoon,Thursday,2,0,10,19
Deira,Evening,Thursday,1,0,5,24
Deira,Evening,Saturday,2,0,10,17
Deira,Evening,Tuesday,1,1,8,20
Deira,Morning,Wednesday,1,0,5,22
Deira,Evening,Sunday,2,0,10,22
Deira,Morning,Thursday,0,1,3,16
Deira,Afternoon,Thursday,0,0,0,19
Deira,Morning,Tuesday,2,0,10,22
Deira,Afternoon,Tuesday,2,1,13,16
Deira,Afternoon,Sunday,1,1,8,17
Deira,Afternoon,Saturday,1,0,5,23
Deira,Morning,Sunday,0,1,3,25
Deira,Afternoon,Monday,2,1,13,21
Deira,Morning,Sunday,1,1,8,18
Deira,Morning,Monday,1,1,8,18
Deira,Morning,Tuesday,1,0,5,24
Deira,Afternoon,Friday,0,0,0,24
Deira,Afternoon,Tuesday,0,0,0,24
Deira,Morning,Thursday,0,0,0,25
Deira,Afternoon,Saturday,2,0,10,20
Deira,Evening,Thursday,1,1,8,16
Deira,Morning,Thursday,1,0,5,18
Deira,Morning,Friday,2,0,10,24
Deira,Afternoon,Friday,1,1,8,24
Deira,Afternoon,Saturday,1,0,5,25
Deira,Afternoon,Friday,2,1,13,25
Deira,Evening,Tuesday,1,0,5,17
Deira,Evening,Friday,0,0,0,18
Deira,Evening,Saturday,0,0,0,19
Deira,Morning,Wednesday,2,0,10,18
Deira,Morning,Friday,1,0,5,16
Deira,Afternoon,Wednesday,1,0,5,16
Deira,Afternoon,Saturday,1,0,5,18
Deira,Evening,Tuesday,1,0,5,16
Deira,Evening,Wednesday,1,0,5,17
Deira,Evening,Sunday,0,0,0,22
Deira,Morning,Monday,1,1,8,21
Deira,Morning,Saturday,2,0,10,22
Deira,Morning,Thursday,1,1,8,22
Deira,Afternoon,Tuesday,2,0,10,18
Deira,Afternoon,Wednesday,1,0,5,17
Deira,Evening,Thursday,1,0,5,16
Deira,Evening,Sunday,1,0,5,23
Deira,Morning,Thursday,0,1,3,16
Deira,Morning,Saturday,2,1,13,16
Deira,Morning,Sunday,1,1,8,16
Deira,Afternoon,Sunday,2,0,10,25
Deira,Evening,Monday,1,0,5,23
Deira,Morning,Monday,2,0,10,20
Deira,Afternoon,Friday,0,0,0,16
Deira,Afternoon,Sunday,0,0,0,23
Deira,Evening,Monday,1,0,5,16
Deira,Afternoon,Friday,2,0,10,22
Deira,Evening,Tuesday,1,1,8,20
Deira,Morning,Monday,2,0,10,19
Deira,Morning,Thursday,1,0,5,23
Deira,Afternoon,Monday,2,0,10,20
Deira,Afternoon,Thursday,2,0,10,17
Deira,Afternoon,Sunday,0,0,0,22
Deira,Evening,Friday,0,0,0,18
Deira,Morning,Thursday,1,0,5,16
Deira,Morning,Sunday,1,0,5,25
Deira,Afternoon,Monday,0,0,0,23
Deira,Evening,Tuesday,2,0,10,22
Deira,Evening,Thursday,1,0,5,20
Deira,Evening,Sunday,1,0,5,62
Deira,Evening,Thursday,1,1,8,78
Deira,Evening,Saturday,2,0,10,83
Deira,Morning,Saturday,1,1,8,80
Deira,Evening,Thursday,2,0,10,71
DIFC,Evening,Saturday,3,3,24,18
DIFC,Morning,Tuesday,4,0,20,18
DIFC,Morning,Thursday,12,0,60,18
DIFC,Afternoon,Tuesday,8,4,52,18
DIFC,Morning,Sunday,3,1,18,18
DIFC,Afternoon,Thursday,4,0,20,18
DIFC,Morning,Tuesday,16,4,92,18
DIFC,Evening,Thursday,4,2,26,18
DIFC,Morning,Monday,8,0,40,18
DIFC,Morning,Monday,16,8,104,18
DIFC,Morning,Monday,16,4,92,18
DIFC,Morning,Monday,12,4,72,18
DIFC,Morning,Monday,12,8,84,18
DIFC,Morning,Monday,4,8,44,18
DIFC,Morning,Monday,16,4,92,18
DIFC,Morning,Monday,12,0,60,18
DIFC,Morning,Monday,4,0,20,18
DIFC,Morning,Monday,8,8,64,18
DIFC,Morning,Monday,4,8,44,18
DIFC,Morning,Monday,4,0,20,18
DIFC,Morning,Monday,4,0,20,18
DIFC,Morning,Monday,4,4,32,18
DIFC,Morning,Monday,8,0,40,18
DIFC,Morning,Monday,16,0,80,18
DIFC,Evening,Saturday,1,3,14,19
DIFC,Morning,Tuesday,4,0,20,19
DIFC,Morning,Tuesday,4,4,32,19
DIFC,Morning,Friday,3,0,15,19
DIFC,Afternoon,Sunday,1,1,8,19
DIFC,Morning,Tuesday,4,8,44,19
DIFC,Morning,Thursday,16,4,92,19
DIFC,Morning,Monday,4,8,44,19
DIFC,Morning,Monday,4,4,32,19
DIFC,Morning,Monday,8,0,40,19
DIFC,Morning,Monday,16,8,104,19
DIFC,Morning,Monday,12,8,84,19
DIFC,Morning,Monday,16,0,80,19
DIFC,Morning,Monday,12,8,84,19
DIFC,Evening,Thursday,2,0,10,20
DIFC,Evening,Wednesday,2,2,16,20
DIFC,Morning,Monday,4,4,32,20
DIFC,Afternoon,Sunday,1,0,5,20
DIFC,Morning,Sunday,4,0,20,20
DIFC,Morning,Sunday,1,0,5,20
DIFC,Afternoon,Wednesday,16,0,80,20
DIFC,Afternoon,Wednesday,4,8,44,20
DIFC,Morning,Monday,16,0,80,20
DIFC,Morning,Monday,8,0,40,20
DIFC,Morning,Monday,4,4,32,20
DIFC,Morning,Monday,12,0,60,20
DIFC,Morning,Monday,12,4,72,20
DIFC,Morning,Monday,12,8,84,20
DIFC,Morning,Monday,12,8,84,20
DIFC,Morning,Monday,16,0,80,20
DIFC,Morning,Monday,4,4,32,20
DIFC,Morning,Monday,8,8,64,20
DIFC,Morning,Monday,12,4,72,20
DIFC,Morning,Monday,16,4,92,20
DIFC,Morning,Monday,4,0,20,20
DIFC,Afternoon,Monday,8,4,52,21
DIFC,Evening,Friday,3,0,15,21
DIFC,Afternoon,Monday,16,0,80,21
DIFC,Morning,Friday,3,0,15,21
DIFC,Afternoon,Tuesday,16,8,104,21
DIFC,Afternoon,Monday,16,8,104,21
DIFC,Evening,Sunday,6,1,33,21
DIFC,Morning,Monday,16,8,104,21
DIFC,Morning,Monday,8,8,64,21
DIFC,Morning,Monday,12,4,72,21
DIFC,Morning,Monday,4,8,44,21
DIFC,Morning,Monday,12,0,60,21
DIFC,Morning,Monday,4,0,20,21
DIFC,Morning,Monday,16,8,104,21
DIFC,Morning,Tuesday,8,8,64,22
DIFC,Evening,Monday,6,4,42,22
DIFC,Afternoon,Sunday,3,3,24,22
DIFC,Evening,Friday,1,1,8,22
DIFC,Morning,Wednesday,16,4,92,22
DIFC,Evening,Tuesday,6,2,36,22
DIFC,Afternoon,Saturday,6,3,39,22
DIFC,Evening,Sunday,4,1,23,22
DIFC,Morning,Monday,12,0,60,22
DIFC,Morning,Monday,12,4,72,22
DIFC,Morning,Monday,16,4,92,22
DIFC,Morning,Monday,8,4,52,22
DIFC,Morning,Monday,4,4,32,22
DIFC,Morning,Monday,4,8,44,22
DIFC,Morning,Monday,12,8,84,22
DIFC,Afternoon,Friday,1,3,14,23
DIFC,Morning,Monday,8,4,52,23
DIFC,Evening,Thursday,2,2,16,23
DIFC,Morning,Wednesday,8,4,52,23
DIFC,Evening,Monday,2,0,10,23
DIFC,Morning,Monday,4,8,44,23
DIFC,Morning,Monday,4,4,32,23
DIFC,Morning,Monday,12,4,72,23
DIFC,Morning,Monday,4,0,20,23
DIFC,Morning,Monday,16,0,80,23
DIFC,Morning,Monday,4,8,44,23
DIFC,Morning,Monday,12,0,60,23
DIFC,Morning,Monday,16,0,80,23
DIFC,Morning,Monday,4,0,20,23
DIFC,Morning,Monday,16,0,80,23
DIFC,Morning,Monday,4,8,44,23
DIFC,Morning,Monday,8,4,52,23
DIFC,Morning,Monday,8,0,40,23
DIFC,Morning,Tuesday,12,0,60,24
DIFC,Afternoon,Thursday,8,8,64,24
DIFC,Afternoon,Friday,1,1,8,24
DIFC,Evening,Tuesday,2,0,10,24
DIFC,Evening,Friday,4,3,29,24
DIFC,Morning,Thursday,8,4,52,24
DIFC,Afternoon,Monday,4,4,32,24
DIFC,Morning,Monday,8,4,52,24
DIFC,Morning,Monday,4,4,32,24
DIFC,Morning,Monday,4,8,44,24
DIFC,Morning,Monday,16,0,80,24
DIFC,Morning,Monday,8,4,52,24
DIFC,Morning,Monday,4,4,32,24
DIFC,Morning,Monday,4,4,32,24
DIFC,Morning,Monday,12,4,72,24
DIFC,Morning,Monday,8,4,52,24
DIFC,Morning,Monday,8,0,40,24
DIFC,Morning,Monday,12,4,72,24
DIFC,Morning,Monday,12,4,72,24
DIFC,Morning,Monday,4,4,32,24
DIFC,Morning,Monday,4,0,20,24
DIFC,Morning,Monday,4,8,44,24
DIFC,Morning,Monday,16,8,104,24
DIFC,Morning,Wednesday,12,8,84,25
DIFC,Evening,Friday,6,1,33,25
DIFC,Afternoon,Sunday,1,3,14,25
DIFC,Morning,Wednesday,16,4,92,25
DIFC,Afternoon,Thursday,12,8,84,25
DIFC,Afternoon,Sunday,4,0,20,25
DIFC,Morning,Monday,8,0,40,25
DIFC,Morning,Monday,8,8,64,25
DIFC,Morning,Monday,4,4,32,25
DIFC,Morning,Monday,12,0,60,25
DIFC,Morning,Monday,12,4,72,25
DIFC,Morning,Monday,8,4,52,25
DIFC,Afternoon,Wednesday,8,8,64,26
DIFC,Morning,Tuesday,12,0,60,26
DIFC,Morning,Saturday,3,1,18,26
DIFC,Afternoon,Saturday,6,3,39,26
DIFC,Morning,Monday,12,4,72,26
DIFC,Afternoon,Tuesday,8,4,52,26
DIFC,Evening,Sunday,3,3,24,26
DIFC,Morning,Saturday,4,1,23,26
DIFC,Evening,Monday,6,0,30,26
DIFC,Morning,Saturday,3,1,18,26
DIFC,Afternoon,Monday,12,8,84,26
DIFC,Afternoon,Thursday,12,8,84,26
DIFC,Evening,Friday,4,3,29,26
DIFC,Morning,Thursday,8,8,64,26
DIFC,Evening,Monday,6,0,30,26
DIFC,Morning,Sunday,4,1,23,26
DIFC,Morning,Wednesday,4,4,32,26
DIFC,Morning,Monday,12,8,84,26
DIFC,Morning,Monday,16,0,80,26
DIFC,Morning,Monday,16,0,80,26
DIFC,Morning,Monday,16,8,104,26
DIFC,Morning,Monday,8,0,40,26
DIFC,Morning,Monday,16,0,80,26
DIFC,Morning,Monday,4,8,44,26
DIFC,Morning,Monday,8,0,40,26
DIFC,Evening,Thursday,8,2,46,27
DIFC,Afternoon,Monday,16,0,80,27
DIFC,Afternoon,Thursday,12,0,60,27
DIFC,Evening,Friday,1,1,8,27
DIFC,Morning,Thursday,4,0,20,27
DIFC,Morning,Friday,4,0,20,27
DIFC,Morning,Monday,12,8,84,27
DIFC,Morning,Monday,4,4,32,27
DIFC,Morning,Monday,16,4,92,27
DIFC,Morning,Monday,8,8,64,27
DIFC,Morning,Monday,4,0,20,27
DIFC,Afternoon,Thursday,8,4,52,28
DIFC,Evening,Sunday,4,3,29,28
DIFC,Evening,Tuesday,4,2,26,28
DIFC,Morning,Monday,12,0,60,28
DIFC,Evening,Tuesday,8,4,52,28
DIFC,Evening,Saturday,4,0,20,28
DIFC,Morning,Monday,16,0,80,28
DIFC,Evening,Monday,8,0,40,28
DIFC,Afternoon,Tuesday,4,4,32,28
DIFC,Afternoon,Wednesday,8,8,64,28
DIFC,Afternoon,Sunday,3,1,18,28
DIFC,Morning,Tuesday,4,4,32,28
DIFC,Morning,Monday,12,0,60,28
DIFC,Morning,Monday,4,8,44,28
DIFC,Morning,Monday,4,4,32,28
DIFC,Afternoon,Friday,4,3,29,29
DIFC,Morning,Wednesday,16,8,104,29
DIFC,Morning,Wednesday,12,0,60,29
DIFC,Evening,Wednesday,8,0,40,29
DIFC,Afternoon,Friday,6,1,33,29
DIFC,Evening,Monday,4,0,20,29
DIFC,Afternoon,Thursday,4,0,20,29
DIFC,Morning,Wednesday,8,0,40,29
DIFC,Morning,Monday,16,0,80,29
DIFC,Morning,Monday,4,8,44,29
DIFC,Morning,Monday,4,4,32,29
DIFC,Morning,Monday,8,4,52,29
DIFC,Morning,Monday,8,8,64,29
DIFC,Morning,Monday,16,8,104,29
DIFC,Morning,Monday,16,4,92,29
DIFC,Morning,Monday,16,8,104,29
DIFC,Afternoon,Monday,12,4,72,30
DIFC,Morning,Wednesday,4,8,44,30
DIFC,Afternoon,Wednesday,8,0,40,30
DIFC,Afternoon,Sunday,1,0,5,30
DIFC,Morning,Wednesday,12,8,84,30
DIFC,Morning,Monday,4,0,20,30
DIFC,Morning,Wednesday,16,0,80,30
DIFC,Morning,Saturday,4,0,20,30
DIFC,Morning,Monday,4,4,32,30
DIFC,Morning,Monday,12,8,84,30
DIFC,Morning,Monday,8,0,40,30
DIFC,Morning,Monday,16,0,80,30
DIFC,Morning,Monday,12,8,84,30
DIFC,Morning,Monday,12,0,60,30
DIFC,Morning,Monday,4,8,44,30
DIFC,Morning,Monday,12,4,72,30
DIFC,Morning,Monday,16,0,80,30
DIFC,Morning,Monday,12,8,84,30
DIFC,Morning,Monday,8,8,64,30
DIFC,Morning,Saturday,1,3,14,31
DIFC,Afternoon,Friday,6,0,30,31
DIFC,Evening,Monday,8,4,52,31
DIFC,Morning,Monday,16,8,104,31
DIFC,Morning,Friday,6,1,33,31
DIFC,Morning,Tuesday,16,8,104,31
DIFC,Morning,Thursday,12,4,72,31
DIFC,Afternoon,Thursday,16,0,80,31
DIFC,Afternoon,Monday,12,8,84,31
DIFC,Morning,Monday,8,8,64,31
DIFC,Morning,Friday,4,3,29,31
DIFC,Afternoon,Thursday,12,4,72,31
DIFC,Morning,Sunday,4,3,29,31
DIFC,Morning,Monday,16,8,104,31
DIFC,Morning,Monday,16,0,80,31
DIFC,Morning,Monday,4,8,44,31
DIFC,Morning,Monday,8,8,64,31
DIFC,Morning,Monday,16,8,104,31
DIFC,Morning,Monday,4,0,20,31
DIFC,Morning,Monday,4,8,44,31
DIFC,Morning,Monday,8,0,40,31
DIFC,Morning,Monday,12,8,84,31
DIFC,Morning,Monday,4,8,44,31
DIFC,Morning,Monday,16,0,80,32
DIFC,Morning,Sunday,1,3,14,32
DIFC,Afternoon,Tuesday,8,8,64,32
DIFC,Morning,Wednesday,4,8,44,32
DIFC,Morning,Saturday,1,0,5,32
DIFC,Evening,Monday,6,0,30,32
DIFC,Afternoon,Friday,1,0,5,32
DIFC,Morning,Saturday,6,0,30,32
DIFC,Afternoon,Friday,6,0,30,32
DIFC,Morning,Monday,4,8,44,32
DIFC,Morning,Monday,16,8,104,32
DIFC,Morning,Monday,12,0,60,32
DIFC,Morning,Monday,16,4,92,32
DIFC,Morning,Monday,12,4,72,32
DIFC,Morning,Monday,8,4,52,32
DIFC,Morning,Monday,8,8,64,32
DIFC,Morning,Monday,4,0,20,32
DIFC,Morning,Wednesday,8,8,64,33
DIFC,Morning,Friday,1,1,8,33
DIFC,Morning,Thursday,4,4,32,33
DIFC,Afternoon,Friday,3,0,15,33
DIFC,Afternoon,Saturday,4,3,29,33
DIFC,Evening,Friday,4,1,23,33
DIFC,Morning,Friday,4,0,20,33
DIFC,Morning,Saturday,1,0,5,33
DIFC,Evening,Monday,4,4,32,33
DIFC,Evening,Friday,1,3,14,33
DIFC,Morning,Sunday,6,0,30,33
DIFC,Morning,Sunday,4,1,23,33
DIFC,Afternoon,Wednesday,16,8,104,33
DIFC,Morning,Friday,1,0,5,33
DIFC,Morning,Monday,12,0,60,33
DIFC,Morning,Monday,16,0,80,33
DIFC,Morning,Monday,4,4,32,33
DIFC,Morning,Monday,12,8,84,33
DIFC,Morning,Monday,8,0,40,33
DIFC,Morning,Monday,4,4,32,33
DIFC,Morning,Monday,16,8,104,33
DIFC,Afternoon,Sunday,6,1,33,34
DIFC,Morning,Saturday,6,0,30,34
DIFC,Morning,Monday,8,0,40,34
DIFC,Afternoon,Saturday,1,1,8,34
DIFC,Morning,Wednesday,16,4,92,34
DIFC,Morning,Thursday,12,4,72,34
DIFC,Evening,Thursday,4,0,20,34
DIFC,Evening,Saturday,4,3,29,34
DIFC,Afternoon,Monday,12,8,84,34
DIFC,Morning,Friday,6,0,30,34
DIFC,Afternoon,Monday,12,4,72,34
DIFC,Morning,Thursday,12,0,60,34
DIFC,Evening,Monday,8,4,52,34
DIFC,Morning,Monday,12,8,84,34
DIFC,Morning,Monday,12,0,60,34
DIFC,Morning,Monday,8,0,40,34
DIFC,Evening,Tuesday,8,0,40,35
DIFC,Afternoon,Tuesday,12,0,60,35
DIFC,Morning,Sunday,3,1,18,35
DIFC,Afternoon,Sunday,1,3,14,35
DIFC,Afternoon,Saturday,1,3,14,35
DIFC,Evening,Sunday,3,0,15,35
DIFC,Morning,Friday,1,1,8,35
DIFC,Morning,Saturday,6,3,39,35
DIFC,Afternoon,Saturday,6,3,39,35
DIFC,Afternoon,Thursday,4,0,20,35
DIFC,Morning,Monday,12,8,84,35
DIFC,Morning,Monday,12,4,72,35
DIFC,Morning,Monday,8,8,64,35
DIFC,Morning,Monday,16,8,104,35
DIFC,Morning,Monday,12,8,84,35
DIFC,Morning,Monday,16,8,104,35
DIFC,Morning,Monday,12,8,84,35
DIFC,Morning,Monday,12,8,84,35
DIFC,Morning,Monday,12,8,84,35
DIFC,Evening,Wednesday,2,0,10,36
DIFC,Afternoon,Tuesday,8,8,64,36
