Location,Time,Day of Week,Number of Drinks,Number of Pastries,Total Bill,Age,Age_group
Deira,Afternoon,Thursday,1,1,8,34,25-35
Deira,Evening,Wednesday,0,0,0,34,25-35
Deira,Afternoon,Wednesday,1,0,5,34,25-35
Deira,Morning,Monday,2,0,10,34,25-35
Deira,Afternoon,Friday,1,0,5,34,25-35
Deira,Morning,Monday,0,0,0,34,25-35
Deira,Morning,Thursday,1,1,8,35,35-50
Deira,Afternoon,Sunday,2,0,10,35,35-50
Deira,Evening,Saturday,1,1,8,35,35-50
Deira,Evening,Tuesday,2,0,10,35,35-50
Deira,Evening,Friday,2,1,13,35,35-50
Deira,Afternoon,Tuesday,1,1,8,35,35-50
Deira,Afternoon,Saturday,0,1,3,36,35-50
Deira,Morning,Monday,2,0,10,36,35-50
Deira,Morning,Sunday,1,1,8,36,35-50
Deira,Afternoon,Wednesday,0,0,0,36,35-50
Deira,Morning,Thursday,0,1,3,36,35-50
Deira,Morning,Monday,1,1,8,36,35-50
Deira,Morning,Tuesday,0,0,0,36,35-50
Deira,Morning,Thursday,2,1,13,36,35-50
Deira,Morning,Tuesday,1,0,5,37,35-50
Deira,Afternoon,Wednesday,1,1,8,37,35-50
Deira,Evening,Thursday,1,1,8,37,35-50
Deira,Evening,Saturday,2,1,13,37,35-50
Deira,Afternoon,Saturday,0,1,3,37,35-50
Deira,Evening,Tuesday,0,0,0,38,35-50
Deira,Afternoon,Wednesday,0,1,3,38,35-50
Deira,Morning,Tuesday,0,0,0,38,35-50
Deira,Afternoon,Friday,1,0,5,38,35-50
Deira,Evening,Tuesday,0,0,0,39,35-50
Deira,Evening,Saturday,2,1,13,39,35-50
Deira,Morning,Sunday,1,0,5,39,35-50
Deira,Afternoon,Monday,2,0,10,39,35-50
Deira,Morning,Monday,2,0,10,39,35-50
Deira,Afternoon,Wednesday,1,0,5,39,35-50
Deira,Evening,Sunday,2,0,10,39,35-50
Deira,Evening,Friday,0,0,0,39,35-50
Deira,Afternoon,Saturday,1,0,5,39,35-50
Deira,Morning,Saturday,0,0,0,40,35-50
Deira,Morning,Thursday,0,0,0,40,35-50
Deira,Evening,Monday,2,0,10,40,35-50
Deira,Afternoon,Saturday,1,1,8,40,35-50
Deira,Evening,Sunday,0,0,0,40,35-50
Deira,Evening,Saturday,1,1,8,40,35-50
Deira,Evening,Monday,0,1,3,40,35-50
Deira,Afternoon,Monday,1,1,8,40,35-50
Deira,Morning,Wednesday,1,0,5,41,35-50
Deira,Evening,Sunday,1,1,8,41,35-50
Deira,Evening,Monday,2,1,13,41,35-50
Deira,Evening,Monday,1,0,5,41,35-50
Deira,Afternoon,Tuesday,1,0,5,41,35-50
Deira,Afternoon,Monday,1,1,8,41,35-50
Deira,Afternoon,Wednesday,2,0,10,42,35-50
Deira,Morning,Friday,1,0,5,42,35-50
Deira,Afternoon,Wednesday,1,0,5,42,35-50
Deira,Afternoon,Sunday,1,1,8,42,35-50
Deira,Evening,Thursday,2,0,10,42,35-50
Deira,Afternoon,Sunday,0,0,0,42,35-50
Deira,Morning,Tuesday,1,1,8,42,35-50
Deira,Morning,Thursday,2,1,13,42,35-50
Deira,Afternoon,Friday,2,0,10,42,35-50
Deira,Afternoon,Saturday,1,1,8,42,35-50
Deira,Afternoon,Sunday,1,0,5,42,35-50
Deira,Morning,Wednesday,0,0,0,43,35-50
Deira,Morning,Friday,1,1,8,43,35-50
Deira,Morning,Wednesday,1,1,8,43,35-50
Deira,Afternoon,Sunday,1,0,5,43,35-50
Deira,Evening,Tuesday,1,0,5,43,35-50
Deira,Evening,Wednesday,1,1,8,43,35-50
Deira,Morning,Wednesday,0,0,0,43,35-50
Deira,Evening,Monday,0,1,3,43,35-50
Deira,Afternoon,Sunday,1,0,5,44,35-50
Deira,Evening,Wednesday,2,0,10,44,35-50
Deira,Afternoon,Saturday,2,0,10,44,35-50
Deira,Afternoon,Tuesday,1,0,5,44,35-50
Deira,Morning,Saturday,1,0,5,44,35-50
Deira,Afternoon,Wednesday,1,1,8,44,35-50
Deira,Morning,Friday,0,0,0,44,35-50
Deira,Afternoon,Thursday,1,0,5,44,35-50
Deira,Morning,Thursday,2,1,13,45,35-50
Deira,Morning,Saturday,0,1,3,45,35-50
Deira,Morning,Friday,1,0,5,45,35-50
Deira,Afternoon,Friday,0,0,0,45,35-50
Deira,Afternoon,Tuesday,1,0,5,46,35-50
Deira,Morning,Tuesday,2,1,13,46,35-50
Deira,Evening,Wednesday,1,1,8,46,35-50
Deira,Evening,Saturday,1,0,5,46,35-50
Deira,Morning,Wednesday,1,1,8,46,35-50
Deira,Afternoon,Sunday,1,0,5,46,35-50
Deira,Evening,Saturday,0,0,0,46,35-50
Deira,Afternoon,Tuesday,1,1,8,46,35-50
Deira,Evening,Wednesday,1,1,8,46,35-50
Deira,Evening,Saturday,1,0,5,46,35-50
Deira,Afternoon,Friday,2,0,10,46,35-50
Deira,Morning,Thursday,0,1,3,46,35-50
Deira,Evening,Friday,1,1,8,47,35-50
Deira,Afternoon,Friday,1,0,5,47,35-50
Deira,Evening,Thursday,1,0,5,47,35-50
Deira,Evening,Thursday,1,0,5,47,35-50
Deira,Morning,Saturday,0,1,3,47,35-50
Deira,Afternoon,Thursday,0,0,0,47,35-50
Deira,Afternoon,Wednesday,1,0,5,47,35-50
Deira,Evening,Monday,1,1,8,47,35-50
Deira,Afternoon,Saturday,2,1,13,47,35-50
Deira,Afternoon,Wednesday,0,0,0,47,35-50
Deira,Evening,Tuesday,1,0,5,47,35-50
Deira,Afternoon,Sunday,1,1,8,48,35-50
Deira,Evening,Wednesday,1,0,5,48,35-50
Deira,Afternoon,Friday,1,0,5,48,35-50
Deira,Morning,Sunday,1,0,5,48,35-50
Deira,Afternoon,Monday,1,0,5,48,35-50
Deira,Evening,Monday,1,0,5,48,35-50
Deira,Evening,Friday,1,0,5,48,35-50
Deira,Morning,Wednesday,2,0,10,48,35-50
Deira,Morning,Wednesday,0,1,3,48,35-50
Deira,Morning,Friday,0,0,0,48,35-50
Deira,Afternoon,Saturday,1,0,5,48,35-50
Deira,Evening,Thursday,2,1,13,48,35-50
Deira,Afternoon,Thursday,1,1,8,48,35-50
Deira,Morning,Monday,0,1,3,48,35-50
Deira,Afternoon,Monday,1,0,5,48,35-50
Deira,Evening,Tuesday,2,0,10,49,35-50
Deira,Afternoon,Monday,1,1,8,49,35-50
Deira,Evening,Saturday,1,0,5,49,35-50
Deira,Evening,Thursday,1,0,5,49,35-50
Deira,Morning,Friday,1,0,5,49,35-50
Deira,Morning,Tuesday,1,0,5,49,35-50
Deira,Morning,Wednesday,1,0,5,49,35-50
Deira,Evening,Saturday,0,0,0,49,35-50
Deira,Afternoon,Monday,2,1,13,49,35-50
Deira,Afternoon,Tuesday,1,0,5,49,35-50
Deira,Afternoon,Wednesday,2,0,10,49,35-50
Deira,Evening,Friday,1,0,5,49,35-50
Deira,Afternoon,Tuesday,0,0,0,49,35-50
Deira,Afternoon,Wednesday,0,0,0,49,35-50
Deira,Morning,Monday,2,0,10,49,35-50
Deira,Afternoon,Monday,0,0,0,49,35-50
Deira,Evening,Wednesday,1,1,8,49,35-50
Deira,Evening,Thursday,1,0,5,49,35-50
Deira,Morning,Saturday,1,0,5,49,35-50
Deira,Afternoon,Thursday,0,0,0,49,35-50
Deira,Morning,Wednesday,1,1,8,50,50+
Deira,Evening,Thursday,0,1,3,25,25-35
Deira,Evening,Sunday,0,0,0,22,18-24
Deira,Morning,Friday,1,1,8,18,18-24
Deira,Evening,Tuesday,2,0,10,16,18-24
Deira,Afternoon,Thursday,1,1,8,20,18-24
Deira,Evening,Tuesday,1,0,5,19,18-24
Deira,Morning,Wednesday,0,0,0,23,18-24
Deira,Afternoon,Saturday,1,0,5,19,18-24
Deira,Evening,Sunday,0,1,3,21,18-24
Deira,Morning,Tuesday,2,0,10,16,18-24
Deira,Morning,Monday,0,1,3,18,18-24
Deira,Evening,Sunday,2,0,10,22,18-24
Deira,Morning,Wednesday,1,1,8,23,18-24
Deira,Evening,Friday,2,0,10,24,25-35
Deira,Morning,Saturday,2,0,10,17,18-24
Deira,Evening,Tuesday,1,0,5,20,18-24
Deira,Morning,Saturday,0,0,0,20,18-24
Deira,Evening,Monday,2,1,13,20,18-24
Deira,Morning,Saturday,1,1,8,18,18-24
Deira,Evening,Friday,2,1,13,23,18-24
Deira,Evening,Saturday,2,1,13,20,18-24
Deira,Morning,Sunday,1,0,5,19,18-24
Deira,Afternoon,Monday,1,0,5,22,18-24
Deira,Evening,Monday,2,1,13,24,25-35
Deira,Morning,Sunday,2,1,13,17,18-24
Deira,Morning,Saturday,2,0,10,22,18-24
Deira,Morning,Sunday,1,0,5,17,18-24
Deira,Evening,Monday,1,1,8,22,18-24
Deira,Afternoon,Friday,0,0,0,21,18-24
Deira,Morning,Monday,1,1,8,20,18-24
Deira,Evening,Tuesday,2,0,10,23,18-24
Deira,Evening,Sunday,2,1,13,21,18-24
Deira,Morning,Sunday,1,0,5,24,25-35
Deira,Afternoon,Thursday,1,0,5,22,18-24
Deira,Afternoon,Thursday,2,0,10,19,18-24
Deira,Evening,Thursday,1,0,5,24,25-35
Deira,Evening,Saturday,2,0,10,17,18-24
Deira,Evening,Tuesday,1,1,8,20,18-24
Deira,Morning,Wednesday,1,0,5,22,18-24
Deira,Evening,Sunday,2,0,10,22,18-24
Deira,Morning,Thursday,0,1,3,16,18-24
Deira,Afternoon,Thursday,0,0,0,19,18-24
Deira,Morning,Tuesday,2,0,10,22,18-24
Deira,Afternoon,Tuesday,2,1,13,16,18-24
Deira,Afternoon,Sunday,1,1,8,17,18-24
Deira,Afternoon,Saturday,1,0,5,23,18-24
Deira,Morning,Sunday,0,1,3,25,25-35
Deira,Afternoon,Monday,2,1,13,21,18-24
Deira,Morning,Sunday,1,1,8,18,18-24
Deira,Morning,Monday,1,1,8,18,18-24
Deira,Morning,Tuesday,1,0,5,24,25-35
Deira,Afternoon,Friday,0,0,0,24,25-35
Deira,Afternoon,Tuesday,0,0,0,24,25-35
Deira,Morning,Thursday,0,0,0,25,25-35
Deira,Afternoon,Saturday,2,0,10,20,18-24
Deira,Evening,Thursday,1,1,8,16,18-24
Deira,Morning,Thursday,1,0,5,18,18-24
Deira,Morning,Friday,2,0,10,24,25-35
Deira,Afternoon,Friday,1,1,8,24,25-35
Deira,Afternoon,Saturday,1,0,5,25,25-35
Deira,Afternoon,Friday,2,1,13,25,25-35
Deira,Evening,Tuesday,1,0,5,17,18-24
Deira,Evening,Friday,0,0,0,18,18-24
Deira,Evening,Saturday,0,0,0,19,18-24
Deira,Morning,Wednesday,2,0,10,18,18-24
Deira,Morning,Friday,1,0,5,16,18-24
Deira,Afternoon,Wednesday,1,0,5,16,18-24
Deira,Afternoon,Saturday,1,0,5,18,18-24
Deira,Evening,Tuesday,1,0,5,16,18-24
Deira,Evening,Wednesday,1,0,5,17,18-24
Deira,Evening,Sunday,0,0,0,22,18-24
Deira,Morning,Monday,1,1,8,21,18-24
Deira,Morning,Saturday,2,0,10,22,18-24
Deira,Morning,Thursday,1,1,8,22,18-24
Deira,Afternoon,Tuesday,2,0,10,18,18-24
Deira,Afternoon,Wednesday,1,0,5,17,18-24
Deira,Evening,Thursday,1,0,5,16,18-24
Deira,Evening,Sunday,1,0,5,23,18-24
Deira,Morning,Thursday,0,1,3,16,18-24
Deira,Morning,Saturday,2,1,13,16,18-24
Deira,Morning,Sunday,1,1,8,16,18-24
Deira,Afternoon,Sunday,2,0,10,25,25-35
Deira,Evening,Monday,1,0,5,23,18-24
Deira,Morning,Monday,2,0,10,20,18-24
Deira,Afternoon,Friday,0,0,0,16,18-24
Deira,Afternoon,Sunday,0,0,0,23,18-24
Deira,Evening,Monday,1,0,5,16,18-24
Deira,Afternoon,Friday,2,0,10,22,18-24
Deira,Evening,Tuesday,1,1,8,20,18-24
Deira,Morning,Monday,2,0,10,19,18-24
Deira,Morning,Thursday,1,0,5,23,18-24
Deira,Afternoon,Monday,2,0,10,20,18-24
Deira,Afternoon,Thursday,2,0,10,17,18-24
Deira,Afternoon,Sunday,0,0,0,22,18-24
Deira,Evening,Friday,0,0,0,18,18-24
Deira,Morning,Thursday,1,0,5,16,18-24
Deira,Morning,Sunday,1,0,5,25,25-35
Deira,Afternoon,Monday,0,0,0,23,18-24
Deira,Evening,Tuesday,2,0,10,22,18-24
Deira,Evening,Thursday,1,0,5,20,18-24
Deira,Evening,Sunday,1,0,5,62,50+
Deira,Evening,Thursday,1,1,8,78,50+
Deira,Evening,Saturday,2,0,10,83,50+
Deira,Morning,Saturday,1,1,8,80,50+
Deira,Evening,Thursday,2,0,10,71,50+
DIFC,Evening,Saturday,3,3,24,18,18-24
DIFC,Morning,Tuesday,4,0,20,18,18-24
DIFC,Morning,Thursday,12,0,60,18,18-24
DIFC,Afternoon,Tuesday,8,4,52,18,18-24
DIFC,Morning,Sunday,3,1,18,18,18-24
DIFC,Afternoon,Thursday,4,0,20,18,18-24
DIFC,Morning,Tuesday,16,4,92,18,18-24
DIFC,Evening,Thursday,4,2,26,18,18-24
DIFC,Morning,Monday,8,0,40,18,18-24
DIFC,Morning,Monday,16,8,104,18,18-24
DIFC,Morning,Monday,16,4,92,18,18-24
DIFC,Morning,Monday,12,4,72,18,18-24
DIFC,Morning,Monday,12,8,84,18,18-24
DIFC,Morning,Monday,4,8,44,18,18-24
DIFC,Morning,Monday,16,4,92,18,18-24
DIFC,Morning,Monday,12,0,60,18,18-24
DIFC,Morning,Monday,4,0,20,18,18-24
DIFC,Morning,Monday,8,8,64,18,18-24
DIFC,Morning,Monday,4,8,44,18,18-24
DIFC,Morning,Monday,4,0,20,18,18-24
DIFC,Morning,Monday,4,0,20,18,18-24
DIFC,Morning,Monday,4,4,32,18,18-24
DIFC,Morning,Monday,8,0,40,18,18-24
DIFC,Morning,Monday,16,0,80,18,18-24
DIFC,Evening,Saturday,1,3,14,19,18-24
DIFC,Morning,Tuesday,4,0,20,19,18-24
DIFC,Morning,Tuesday,4,4,32,19,18-24
DIFC,Morning,Friday,3,0,15,19,18-24
DIFC,Afternoon,Sunday,1,1,8,19,18-24
DIFC,Morning,Tuesday,4,8,44,19,18-24
DIFC,Morning,Thursday,16,4,92,19,18-24
DIFC,Morning,Monday,4,8,44,19,18-24
DIFC,Morning,Monday,4,4,32,19,18-24
DIFC,Morning,Monday,8,0,40,19,18-24
DIFC,Morning,Monday,16,8,104,19,18-24
DIFC,Morning,Monday,12,8,84,19,18-24
DIFC,Morning,Monday,16,0,80,19,18-24
DIFC,Morning,Monday,12,8,84,19,18-24
DIFC,Evening,Thursday,2,0,10,20,18-24
DIFC,Evening,Wednesday,2,2,16,20,18-24
DIFC,Morning,Monday,4,4,32,20,18-24
DIFC,Afternoon,Sunday,1,0,5,20,18-24
DIFC,Morning,Sunday,4,0,20,20,18-24
DIFC,Morning,Sunday,1,0,5,20,18-24
DIFC,Afternoon,Wednesday,16,0,80,20,18-24
DIFC,Afternoon,Wednesday,4,8,44,20,18-24
DIFC,Morning,Monday,16,0,80,20,18-24
DIFC,Morning,Monday,8,0,40,20,18-24
DIFC,Morning,Monday,4,4,32,20,18-24
DIFC,Morning,Monday,12,0,60,20,18-24
DIFC,Morning,Monday,12,4,72,20,18-24
DIFC,Morning,Monday,12,8,84,20,18-24
DIFC,Morning,Monday,12,8,84,20,18-24
DIFC,Morning,Monday,16,0,80,20,18-24
DIFC,Morning,Monday,4,4,32,20,18-24
DIFC,Morning,Monday,8,8,64,20,18-24
DIFC,Morning,Monday,12,4,72,20,18-24
DIFC,Morning,Monday,16,4,92,20,18-24
DIFC,Morning,Monday,4,0,20,20,18-24
DIFC,Afternoon,Monday,8,4,52,21,18-24
DIFC,Evening,Friday,3,0,15,21,18-24
DIFC,Afternoon,Monday,16,0,80,21,18-24
DIFC,Morning,Friday,3,0,15,21,18-24
DIFC,Afternoon,Tuesday,16,8,104,21,18-24
DIFC,Afternoon,Monday,16,8,104,21,18-24
DIFC,Evening,Sunday,6,1,33,21,18-24
DIFC,Morning,Monday,16,8,104,21,18-24
DIFC,Morning,Monday,8,8,64,21,18-24
DIFC,Morning,Monday,12,4,72,21,18-24
DIFC,Morning,Monday,4,8,44,21,18-24
DIFC,Morning,Monday,12,0,60,21,18-24
DIFC,Morning,Monday,4,0,20,21,18-24
DIFC,Morning,Monday,16,8,104,21,18-24
DIFC,Morning,Tuesday,8,8,64,22,18-24
DIFC,Evening,Monday,6,4,42,22,18-24
DIFC,Afternoon,Sunday,3,3,24,22,18-24
DIFC,Evening,Friday,1,1,8,22,18-24
DIFC,Morning,Wednesday,16,4,92,22,18-24
DIFC,Evening,Tuesday,6,2,36,22,18-24
DIFC,Afternoon,Saturday,6,3,39,22,18-24
DIFC,Evening,Sunday,4,1,23,22,18-24
DIFC,Morning,Monday,12,0,60,22,18-24
DIFC,Morning,Monday,12,4,72,22,18-24
DIFC,Morning,Monday,16,4,92,22,18-24
DIFC,Morning,Monday,8,4,52,22,18-24
DIFC,Morning,Monday,4,4,32,22,18-24
DIFC,Morning,Monday,4,8,44,22,18-24
DIFC,Morning,Monday,12,8,84,22,18-24
DIFC,Afternoon,Friday,1,3,14,23,18-24
DIFC,Morning,Monday,8,4,52,23,18-24
DIFC,Evening,Thursday,2,2,16,23,18-24
DIFC,Morning,Wednesday,8,4,52,23,18-24
DIFC,Evening,Monday,2,0,10,23,18-24
DIFC,Morning,Monday,4,8,44,23,18-24
DIFC,Morning,Monday,4,4,32,23,18-24
DIFC,Morning,Monday,12,4,72,23,18-24
DIFC,Morning,Monday,4,0,20,23,18-24
DIFC,Morning,Monday,16,0,80,23,18-24
DIFC,Morning,Monday,4,8,44,23,18-24
DIFC,Morning,Monday,12,0,60,23,18-24
DIFC,Morning,Monday,16,0,80,23,18-24
DIFC,Morning,Monday,4,0,20,23,18-24
DIFC,Morning,Monday,16,0,80,23,18-24
DIFC,Morning,Monday,4,8,44,23,18-24
DIFC,Morning,Monday,8,4,52,23,18-24
DIFC,Morning,Monday,8,0,40,23,18-24
DIFC,Morning,Tuesday,12,0,60,24,25-35
DIFC,Afternoon,Thursday,8,8,64,24,25-35
DIFC,Afternoon,Friday,1,1,8,24,25-35
DIFC,Evening,Tuesday,2,0,10,24,25-35
DIFC,Evening,Friday,4,3,29,24,25-35
DIFC,Morning,Thursday,8,4,52,24,25-35
DIFC,Afternoon,Monday,4,4,32,24,25-35
DIFC,Morning,Monday,8,4,52,24,25-35
DIFC,Morning,Monday,4,4,32,24,25-35
DIFC,Morning,Monday,4,8,44,24,25-35
DIFC,Morning,Monday,16,0,80,24,25-35
DIFC,Morning,Monday,8,4,52,24,25-35
DIFC,Morning,Monday,4,4,32,24,25-35
DIFC,Morning,Monday,4,4,32,24,25-35
DIFC,Morning,Monday,12,4,72,24,25-35
DIFC,Morning,Monday,8,4,52,24,25-35
DIFC,Morning,Monday,8,0,40,24,25-35
DIFC,Morning,Monday,12,4,72,24,25-35
DIFC,Morning,Monday,12,4,72,24,25-35
DIFC,Morning,Monday,4,4,32,24,25-35
DIFC,Morning,Monday,4,0,20,24,25-35
DIFC,Morning,Monday,4,8,44,24,25-35
DIFC,Morning,Monday,16,8,104,24,25-35
DIFC,Morning,Wednesday,12,8,84,25,25-35
DIFC,Evening,Friday,6,1,33,25,25-35
DIFC,Afternoon,Sunday,1,3,14,25,25-35
DIFC,Morning,Wednesday,16,4,92,25,25-35
DIFC,Afternoon,Thursday,12,8,84,25,25-35
DIFC,Afternoon,Sunday,4,0,20,25,25-35
DIFC,Morning,Monday,8,0,40,25,25-35
DIFC,Morning,Monday,8,8,64,25,25-35
DIFC,Morning,Monday,4,4,32,25,25-35
DIFC,Morning,Monday,12,0,60,25,25-35
DIFC,Morning,Monday,12,4,72,25,25-35
DIFC,Morning,Monday,8,4,52,25,25-35
DIFC,Afternoon,Wednesday,8,8,64,26,25-35
DIFC,Morning,Tuesday,12,0,60,26,25-35
DIFC,Morning,Saturday,3,1,18,26,25-35
DIFC,Afternoon,Saturday,6,3,39,26,25-35
DIFC,Morning,Monday,12,4,72,26,25-35
DIFC,Afternoon,Tuesday,8,4,52,26,25-35
DIFC,Evening,Sunday,3,3,24,26,25-35
DIFC,Morning,Saturday,4,1,23,26,25-35
DIFC,Evening,Monday,6,0,30,26,25-35
DIFC,Morning,Saturday,3,1,18,26,25-35
DIFC,Afternoon,Monday,12,8,84,26,25-35
DIFC,Afternoon,Thursday,12,8,84,26,25-35
DIFC,Evening,Friday,4,3,29,26,25-35
DIFC,Morning,Thursday,8,8,64,26,25-35
DIFC,Evening,Monday,6,0,30,26,25-35
DIFC,Morning,Sunday,4,1,23,26,25-35
DIFC,Morning,Wednesday,4,4,32,26,25-35
DIFC,Morning,Monday,12,8,84,26,25-35
DIFC,Morning,Monday,16,0,80,26,25-35
DIFC,Morning,Monday,16,0,80,26,25-35
DIFC,Morning,Monday,16,8,104,26,25-35
DIFC,Morning,Monday,8,0,40,26,25-35
DIFC,Morning,Monday,16,0,80,26,25-35
DIFC,Morning,Monday,4,8,44,26,25-35
DIFC,Morning,Monday,8,0,40,26,25-35
DIFC,Evening,Thursday,8,2,46,27,25-35
DIFC,Afternoon,Monday,16,0,80,27,25-35
DIFC,Afternoon,Thursday,12,0,60,27,25-35
DIFC,Evening,Friday,1,1,8,27,25-35
DIFC,Morning,Thursday,4,0,20,27,25-35
DIFC,Morning,Friday,4,0,20,27,25-35
DIFC,Morning,Monday,12,8,84,27,25-35
DIFC,Morning,Monday,4,4,32,27,25-35
DIFC,Morning,Monday,16,4,92,27,25-35
DIFC,Morning,Monday,8,8,64,27,25-35
DIFC,Morning,Monday,4,0,20,27,25-35
DIFC,Afternoon,Thursday,8,4,52,28,25-35
DIFC,Evening,Sunday,4,3,29,28,25-35
DIFC,Evening,Tuesday,4,2,26,28,25-35
DIFC,Morning,Monday,12,0,60,28,25-35
DIFC,Evening,Tuesday,8,4,52,28,25-35
DIFC,Evening,Saturday,4,0,20,28,25-35
DIFC,Morning,Monday,16,0,80,28,25-35
DIFC,Evening,Monday,8,0,40,28,25-35
DIFC,Afternoon,Tuesday,4,4,32,28,25-35
DIFC,Afternoon,Wednesday,8,8,64,28,25-35
DIFC,Afternoon,Sunday,3,1,18,28,25-35
DIFC,Morning,Tuesday,4,4,32,28,25-35
DIFC,Morning,Monday,12,0,60,28,25-35
DIFC,Morning,Monday,4,8,44,28,25-35
DIFC,Morning,Monday,4,4,32,28,25-35
DIFC,Afternoon,Friday,4,3,29,29,25-35
DIFC,Morning,Wednesday,16,8,104,29,25-35
DIFC,Morning,Wednesday,12,0,60,29,25-35
DIFC,Evening,Wednesday,8,0,40,29,25-35
DIFC,Afternoon,Friday,6,1,33,29,25-35
DIFC,Evening,Monday,4,0,20,29,25-35
DIFC,Afternoon,Thursday,4,0,20,29,25-35
DIFC,Morning,Wednesday,8,0,40,29,25-35
DIFC,Morning,Monday,16,0,80,29,25-35
DIFC,Morning,Monday,4,8,44,29,25-35
DIFC,Morning,Monday,4,4,32,29,25-35
DIFC,Morning,Monday,8,4,52,29,25-35
DIFC,Morning,Monday,8,8,64,29,25-35
DIFC,Morning,Monday,16,8,104,29,25-35
DIFC,Morning,Monday,16,4,92,29,25-35
DIFC,Morning,Monday,16,8,104,29,25-35
DIFC,Afternoon,Monday,12,4,72,30,25-35
DIFC,Morning,Wednesday,4,8,44,30,25-35
DIFC,Afternoon,Wednesday,8,0,40,30,25-35
DIFC,Afternoon,Sunday,1,0,5,30,25-35
DIFC,Morning,Wednesday,12,8,84,30,25-35
DIFC,Morning,Monday,4,0,20,30,25-35
DIFC,Morning,Wednesday,16,0,80,30,25-35
DIFC,Morning,Saturday,4,0,20,30,25-35
DIFC,Morning,Monday,4,4,32,30,25-35
DIFC,Morning,Monday,12,8,84,30,25-35
DIFC,Morning,Monday,8,0,40,30,25-35
DIFC,Morning,Monday,16,0,80,30,25-35
DIFC,Morning,Monday,12,8,84,30,25-35
DIFC,Morning,Monday,12,0,60,30,25-35
DIFC,Morning,Monday,4,8,44,30,25-35
DIFC,Morning,Monday,12,4,72,30,25-35
DIFC,Morning,Monday,16,0,80,30,25-35
DIFC,Morning,Monday,12,8,84,30,25-35
